Source,Target,Type,Id,Label,timeset,Weight,d8,d9,d10
n4,n5,Directed,e0,,,1,,,
n8,n5,Directed,e1,,,1,,,
n8,n6,Directed,e2,,,1,,,
n8,n7,Directed,e3,,,1,,,
n4,n9,Directed,e4,,,1,,,
n9,n10,Directed,e5,,,1,,,
n16,n14,Directed,e6,,,1,,,
n16,n15,Directed,e7,,,1,,,
n13,n17,Directed,e8,,,1,,,
n13,n14,Directed,e9,,,1,,,
n13,n15,Directed,e10,,,1,,,
n13,n16,Directed,e11,,,1,,,
n13,n18,Directed,e12,,,1,,,
n18,n20,Directed,e13,,,1,,,
n18,n19,Directed,e14,,,1,,,
n18,n21,Directed,e15,,,1,,,
n13,n22,Directed,e16,,,1,,,
n13,n23,Directed,e17,,,1,,,
n24,n25,Directed,e18,,,1,,,
n18,n27,Directed,e19,,,1,,,
n23,n35,Directed,e20,,,1,,,
n23,n36,Directed,e21,,,1,,,
n36,n38,Directed,e22,,,1,,,
n40,n12,Directed,e23,,,1,,,
n18,n44,Directed,e24,,,1,,,
n43,n45,Directed,e25,,,1,,,
n45,n46,Directed,e26,,,1,,,
n43,n47,Directed,e27,,,1,,,
n43,n48,Directed,e28,,,1,,,
n18,n49,Directed,e29,,,1,,,
n43,n51,Directed,e30,,,1,,,
n52,n49,Directed,e31,,,1,,,
n52,n51,Directed,e32,,,1,,,
n54,n56,Directed,e33,,,1,,,
n55,n56,Directed,e34,,,1,,,
n57,n58,Directed,e35,,,1,,,
n59,n43,Directed,e36,,,1,,,
n59,n13,Directed,e37,,,1,,,
n58,n61,Directed,e38,,,1,,,
n58,n62,Directed,e39,,,1,,,
n58,n63,Directed,e40,,,1,,,
n59,n61,Directed,e41,,,1,,,
n60,n62,Directed,e42,,,1,,,
n60,n63,Directed,e43,,,1,,,
n60,n64,Directed,e44,,,1,,,
n65,n66,Directed,e45,,,1,,,
n66,n67,Directed,e46,,,1,,,
n67,n68,Directed,e47,,,1,,,
n68,n60,Directed,e48,,,1,,,
n69,n67,Directed,e49,,,1,,,
n69,n68,Directed,e50,,,1,,,
n69,n60,Directed,e51,,,1,,,
n70,n67,Directed,e52,,,1,,,
n70,n68,Directed,e53,,,1,,,
n70,n60,Directed,e54,,,1,,,
n71,n72,Directed,e55,,,1,,,
n82,n83,Directed,e56,,,1,,,
n82,n84,Directed,e57,,,1,,,
n52,n82,Directed,e58,,,1,,,
n91,n92,Directed,e59,,,1,,,
n91,n93,Directed,e60,,,1,,,
n91,n94,Directed,e61,,,1,,,
n91,n95,Directed,e62,,,1,,,
n94,n95,Directed,e63,,,1,,,
n91,n97,Directed,e64,,,1,,,
n57,n98,Directed,e65,,,1,,,
n98,n99,Directed,e66,,,1,,,
n99,n100,Directed,e67,,,1,,,
n83,n104,Directed,e68,,,1,,,
n83,n106,Directed,e69,,,1,,,
n106,n107,Directed,e70,,,1,,,
n108,n109,Directed,e71,,,1,,,
n108,n110,Directed,e72,,,1,,,
n110,n111,Directed,e73,,,1,,,
n110,n112,Directed,e74,,,1,,,
n108,n120,Directed,e75,,,1,,,
n108,n118,Directed,e76,,,1,,,
n108,n123,Directed,e77,,,1,,,
n123,n119,Directed,e78,,,1,,,
n127,n124,Directed,e79,,,1,,,
n127,n125,Directed,e80,,,1,,,
n127,n126,Directed,e81,,,1,,,
n128,n129,Directed,e82,,,1,,,
n128,n130,Directed,e83,,,1,,,
n128,n131,Directed,e84,,,1,,,
n130,n131,Directed,e85,,,1,,,
n128,n132,Directed,e86,,,1,,,
n132,n133,Directed,e87,,,1,,,
n128,n134,Directed,e88,,,1,,,
n132,n134,Directed,e89,,,1,,,
n134,n133,Directed,e90,,,1,,,
n43,n135,Directed,e91,,,1,,,
n13,n136,Directed,e92,,,1,,,
n108,n138,Directed,e93,,,1,,,
n138,n139,Directed,e94,,,1,,,
n139,n141,Directed,e95,,,1,,,
n139,n142,Directed,e96,,,1,,,
n139,n115,Directed,e97,,,1,,,
n141,n115,Directed,e98,,,1,,,
n240,n140,Directed,e99,,,1,,,
n240,n121,Directed,e100,,,1,,,
n144,n109,Directed,e101,,,1,,,
n144,n113,Directed,e102,,,1,,,
n144,n114,Directed,e103,,,1,,,
n144,n116,Directed,e104,,,1,,,
n144,n117,Directed,e105,,,1,,,
n66,n147,Directed,e106,,,1,,,
n147,n148,Directed,e107,,,1,,,
n148,n149,Directed,e108,,,1,,,
n148,n150,Directed,e109,,,1,,,
n148,n151,Directed,e110,,,1,,,
n143,n154,Directed,e111,,,1,,,
n143,n155,Directed,e112,,,1,,,
n138,n156,Directed,e113,,,1,,,
n127,n157,Directed,e114,,,1,,,
n160,n161,Directed,e115,,,1,,,
n160,n162,Directed,e116,,,1,,,
n160,n163,Directed,e117,,,1,,,
n160,n164,Directed,e118,,,1,,,
n160,n165,Directed,e119,,,1,,,
n112,n164,Directed,e120,,,1,,,
n112,n165,Directed,e121,,,1,,,
n111,n163,Directed,e122,,,1,,,
n111,n162,Directed,e123,,,1,,,
n111,n161,Directed,e124,,,1,,,
n13,n167,Directed,e125,,,1,,,
n158,n168,Directed,e126,,,1,,,
n173,n171,Directed,e127,,,1,,,
n172,n171,Directed,e128,,,1,,,
n170,n172,Directed,e129,,,1,,,
n169,n173,Directed,e130,,,1,,,
n175,n187,Directed,e131,,,1,,,
n194,n187,Directed,e132,,,1,,,
n194,n185,Directed,e133,,,1,,,
n175,n185,Directed,e134,,,1,,,
n195,n185,Directed,e135,,,1,,,
n196,n185,Directed,e136,,,1,,,
n197,n185,Directed,e137,,,1,,,
n175,n186,Directed,e138,,,1,,,
n176,n186,Directed,e139,,,1,,,
n194,n186,Directed,e140,,,1,,,
n195,n186,Directed,e141,,,1,,,
n196,n186,Directed,e142,,,1,,,
n175,n177,Directed,e143,,,1,,,
n176,n177,Directed,e144,,,1,,,
n177,n198,Directed,e145,,,1,,,
n201,n180,Directed,e146,,,1,,,
n177,n202,Directed,e147,,,1,,,
n190,n191,Directed,e148,,,1,,,
n190,n192,Directed,e149,,,1,,,
n180,n199,Directed,e150,,,1,,,
n180,n200,Directed,e151,,,1,,,
n177,n199,Directed,e152,,,1,,,
n177,n200,Directed,e153,,,1,,,
n187,n193,Directed,e154,,,1,,,
n189,n184,Directed,e155,,,1,,,
n180,n183,Directed,e156,,,1,,,
n180,n181,Directed,e157,,,1,,,
n180,n182,Directed,e158,,,1,,,
n184,n187,Directed,e159,,,1,,,
n187,n185,Directed,e160,,,1,,,
n185,n186,Directed,e161,,,1,,,
n186,n174,Directed,e162,,,1,,,
n197,n186,Directed,e163,,,1,,,
n176,n188,Directed,e164,,,1,,,
n188,n178,Directed,e165,,,1,,,
n188,n203,Directed,e166,,,1,,,
n203,n204,Directed,e167,,,1,,,
n204,n176,Directed,e168,,,1,,,
n178,n204,Directed,e169,,,1,,,
n205,n184,Directed,e170,,,1,,,
n204,n177,Directed,e171,,,1,,,
n204,n180,Directed,e172,,,1,,,
n204,n190,Directed,e173,,,1,,,
n188,n212,Directed,e174,,,1,,,
n188,n213,Directed,e175,,,1,,,
n186,n212,Directed,e176,,,1,,,
n214,n215,Directed,e177,,,1,,,
